genus,species,native,n,fraction,year,plot
cornus,racemosa,NA,1,0.004,2020,H6
cornus,racemosa,NA,1,0.004,2020,J11
cornus,racemosa,NA,1,0.004,2020,J12
cornus,racemosa,NA,1,0.004,2020,J2
cornus,racemosa,NA,1,0.004,2020,J4
cornus,racemosa,NA,1,0.004,2020,K1
cornus,racemosa,NA,1,0.004,2020,K10
cornus,racemosa,NA,1,0.004,2020,K11
cornus,racemosa,NA,1,0.004,2020,K12
cornus,racemosa,NA,1,0.004,2020,K6
cornus,racemosa,NA,1,0.004,2020,K7
cornus,racemosa,NA,1,0.004,2020,K8
cornus,racemosa,NA,1,0.004,2020,K9
cornus,racemosa,NA,1,0.004,2020,L6
cypripedium,candidum,NA,1,0.004,2020,C7
dalea,purpurea,NA,1,0.004,2020,B1
dalea,purpurea,NA,1,0.004,2020,C1
dalea,purpurea,NA,1,0.004,2020,C2
dalea,purpurea,NA,1,0.004,2020,E2
dalea,purpurea,NA,1,0.004,2020,E3
dalea,purpurea,NA,1,0.004,2020,F2
dalea,purpurea,NA,1,0.004,2020,G1
dalea,purpurea,NA,1,0.004,2020,G16
dalea,purpurea,NA,1,0.004,2020,G2
dalea,purpurea,NA,1,0.004,2020,H10
dalea,purpurea,NA,1,0.004,2020,H7
dalea,purpurea,NA,1,0.004,2020,H9
dalea,purpurea,NA,1,0.004,2020,I10
dalea,purpurea,NA,1,0.004,2020,I9
dalea,purpurea,NA,1,0.004,2020,J9
daucus,carota,NA,1,0.004,2020,A3
daucus,carota,NA,1,0.004,2020,K1
daucus,carota,NA,1,0.004,2020,L8
dichanthelium,leibergii,NA,1,0.004,2020,B11
dichanthelium,leibergii,NA,1,0.004,2020,B12
dichanthelium,leibergii,NA,1,0.004,2020,B2
dichanthelium,leibergii,NA,1,0.004,2020,B5
dichanthelium,leibergii,NA,1,0.004,2020,C1
dichanthelium,leibergii,NA,1,0.004,2020,C12
dichanthelium,leibergii,NA,1,0.004,2020,C13
dichanthelium,leibergii,NA,1,0.004,2020,C15
dichanthelium,leibergii,NA,1,0.004,2020,C16
dichanthelium,leibergii,NA,1,0.004,2020,C2
dichanthelium,leibergii,NA,1,0.004,2020,C23
dichanthelium,leibergii,NA,1,0.004,2020,C3
dichanthelium,leibergii,NA,1,0.004,2020,C5
dichanthelium,leibergii,NA,1,0.004,2020,C6
dichanthelium,leibergii,NA,1,0.004,2020,C7
dichanthelium,leibergii,NA,1,0.004,2020,D1
dichanthelium,leibergii,NA,1,0.004,2020,D11
dichanthelium,leibergii,NA,1,0.004,2020,D12
dichanthelium,leibergii,NA,1,0.004,2020,D13
dichanthelium,leibergii,NA,1,0.004,2020,D14
dichanthelium,leibergii,NA,1,0.004,2020,D15
dichanthelium,leibergii,NA,1,0.004,2020,D16
dichanthelium,leibergii,NA,1,0.004,2020,D2
dichanthelium,leibergii,NA,1,0.004,2020,D5
dichanthelium,leibergii,NA,1,0.004,2020,D6
dichanthelium,leibergii,NA,1,0.004,2020,D7
dichanthelium,leibergii,NA,1,0.004,2020,E1
dichanthelium,leibergii,NA,1,0.004,2020,E11
dichanthelium,leibergii,NA,1,0.004,2020,E12
dichanthelium,leibergii,NA,1,0.004,2020,E13
dichanthelium,leibergii,NA,1,0.004,2020,E14
dichanthelium,leibergii,NA,1,0.004,2020,E15
dichanthelium,leibergii,NA,1,0.004,2020,E16
dichanthelium,leibergii,NA,1,0.004,2020,E2
dichanthelium,leibergii,NA,1,0.004,2020,E3
dichanthelium,leibergii,NA,1,0.004,2020,F1
dichanthelium,leibergii,NA,1,0.004,2020,F14
dichanthelium,leibergii,NA,1,0.004,2020,F15
dichanthelium,leibergii,NA,1,0.004,2020,F16
dichanthelium,leibergii,NA,1,0.004,2020,F2
dichanthelium,leibergii,NA,1,0.004,2020,F3
dichanthelium,leibergii,NA,1,0.004,2020,F5
dichanthelium,leibergii,NA,1,0.004,2020,F8
dichanthelium,leibergii,NA,1,0.004,2020,G1
dichanthelium,leibergii,NA,1,0.004,2020,G10
dichanthelium,leibergii,NA,1,0.004,2020,G14
dichanthelium,leibergii,NA,1,0.004,2020,G16
dichanthelium,leibergii,NA,1,0.004,2020,G2
dichanthelium,leibergii,NA,1,0.004,2020,G3
dichanthelium,leibergii,NA,1,0.004,2020,G4
dichanthelium,leibergii,NA,1,0.004,2020,G5
dichanthelium,leibergii,NA,1,0.004,2020,G7
dichanthelium,leibergii,NA,1,0.004,2020,G8
dichanthelium,leibergii,NA,1,0.004,2020,G9
dichanthelium,leibergii,NA,1,0.004,2020,H1
dichanthelium,leibergii,NA,1,0.004,2020,H10
dichanthelium,leibergii,NA,1,0.004,2020,H19
dichanthelium,leibergii,NA,1,0.004,2020,H2
dichanthelium,leibergii,NA,1,0.004,2020,H3
dichanthelium,leibergii,NA,1,0.004,2020,H4
dichanthelium,leibergii,NA,1,0.004,2020,H5
dichanthelium,leibergii,NA,1,0.004,2020,H6
dichanthelium,leibergii,NA,1,0.004,2020,H7
dichanthelium,leibergii,NA,1,0.004,2020,H8
dichanthelium,leibergii,NA,1,0.004,2020,H9
dichanthelium,leibergii,NA,1,0.004,2020,I2
dichanthelium,leibergii,NA,1,0.004,2020,I3
dichanthelium,leibergii,NA,1,0.004,2020,I4
dichanthelium,leibergii,NA,1,0.004,2020,I5
dichanthelium,leibergii,NA,1,0.004,2020,I6
dichanthelium,leibergii,NA,1,0.004,2020,I7
dichanthelium,leibergii,NA,1,0.004,2020,I9
dichanthelium,leibergii,NA,1,0.004,2020,J10
dichanthelium,leibergii,NA,1,0.004,2020,J2
dichanthelium,leibergii,NA,1,0.004,2020,J3
dichanthelium,leibergii,NA,1,0.004,2020,J4
dichanthelium,leibergii,NA,1,0.004,2020,J5
dichanthelium,leibergii,NA,1,0.004,2020,J6
dichanthelium,leibergii,NA,1,0.004,2020,J7
dichanthelium,leibergii,NA,1,0.004,2020,J9
dichanthelium,leibergii,NA,1,0.004,2020,K5
dichanthelium,leibergii,NA,1,0.004,2020,K6
dipsacus,laciniatus,NA,1,0.004,2020,A15
dipsacus,laciniatus,NA,1,0.004,2020,A25
dipsacus,laciniatus,NA,1,0.004,2020,G13
drymocallis,arguta,NA,1,0.004,2020,G4
echinacea,pallida,NA,1,0.004,2020,D1
echinacea,pallida,NA,1,0.004,2020,I3
eleocharis,compressa,NA,1,0.004,2020,B16
eleocharis,compressa,NA,1,0.004,2020,B17
eleocharis,compressa,NA,1,0.004,2020,F11
eleocharis,compressa,NA,1,0.004,2020,K2
eleocharis,palustris,NA,1,0.004,2020,C18
eleocharis,palustris,NA,1,0.004,2020,D19
eleocharis,palustris,NA,1,0.004,2020,D20
eleocharis,palustris,NA,1,0.004,2020,E18
eleocharis,palustris,NA,1,0.004,2020,E19
eleocharis,palustris,NA,1,0.004,2020,G19
elymus,canadensis,NA,1,0.004,2020,K10
elymus,trachycaulus,NA,1,0.004,2020,E13
elymus,virginicus,NA,1,0.004,2020,A11
elymus,virginicus,NA,1,0.004,2020,A12
elymus,virginicus,NA,1,0.004,2020,A14
elymus,virginicus,NA,1,0.004,2020,A15
elymus,virginicus,NA,1,0.004,2020,A16
elymus,virginicus,NA,1,0.004,2020,A17
elymus,virginicus,NA,1,0.004,2020,A19
elymus,virginicus,NA,1,0.004,2020,A20
elymus,virginicus,NA,1,0.004,2020,A21
elymus,virginicus,NA,1,0.004,2020,A22
elymus,virginicus,NA,1,0.004,2020,A23
elymus,virginicus,NA,1,0.004,2020,A24
elymus,virginicus,NA,1,0.004,2020,A25
elymus,virginicus,NA,1,0.004,2020,A5
elymus,virginicus,NA,1,0.004,2020,A7
epilobium,coloratum,NA,1,0.004,2020,F19
epilobium,coloratum,NA,1,0.004,2020,G12
epilobium,coloratum,NA,1,0.004,2020,J1
erigeron,strigosus,NA,1,0.004,2020,A14
erigeron,strigosus,NA,1,0.004,2020,B11
erigeron,strigosus,NA,1,0.004,2020,B13
erigeron,strigosus,NA,1,0.004,2020,B21
erigeron,strigosus,NA,1,0.004,2020,C8
erigeron,strigosus,NA,1,0.004,2020,F17
erigeron,strigosus,NA,1,0.004,2020,H11
erigeron,strigosus,NA,1,0.004,2020,H19
eryngium,yuccifolium,NA,1,0.004,2020,B1
eryngium,yuccifolium,NA,1,0.004,2020,B13
eryngium,yuccifolium,NA,1,0.004,2020,B18
eryngium,yuccifolium,NA,1,0.004,2020,B19
eryngium,yuccifolium,NA,1,0.004,2020,B21
eryngium,yuccifolium,NA,1,0.004,2020,B3
eryngium,yuccifolium,NA,1,0.004,2020,B5
eryngium,yuccifolium,NA,1,0.004,2020,B8
eryngium,yuccifolium,NA,1,0.004,2020,C1
eryngium,yuccifolium,NA,1,0.004,2020,C12
eryngium,yuccifolium,NA,1,0.004,2020,C13
eryngium,yuccifolium,NA,1,0.004,2020,C15
eryngium,yuccifolium,NA,1,0.004,2020,C2
eryngium,yuccifolium,NA,1,0.004,2020,C21
eryngium,yuccifolium,NA,1,0.004,2020,C22
eryngium,yuccifolium,NA,1,0.004,2020,C3
eryngium,yuccifolium,NA,1,0.004,2020,C5
eryngium,yuccifolium,NA,1,0.004,2020,C6
eryngium,yuccifolium,NA,1,0.004,2020,C7
eryngium,yuccifolium,NA,1,0.004,2020,D10
eryngium,yuccifolium,NA,1,0.004,2020,D12
eryngium,yuccifolium,NA,1,0.004,2020,D14
eryngium,yuccifolium,NA,1,0.004,2020,D15
eryngium,yuccifolium,NA,1,0.004,2020,D2
eryngium,yuccifolium,NA,1,0.004,2020,D3
eryngium,yuccifolium,NA,1,0.004,2020,D6
eryngium,yuccifolium,NA,1,0.004,2020,D7
eryngium,yuccifolium,NA,1,0.004,2020,E10
eryngium,yuccifolium,NA,1,0.004,2020,E13
eryngium,yuccifolium,NA,1,0.004,2020,E14
eryngium,yuccifolium,NA,1,0.004,2020,E15
eryngium,yuccifolium,NA,1,0.004,2020,E2
eryngium,yuccifolium,NA,1,0.004,2020,E3
eryngium,yuccifolium,NA,1,0.004,2020,E4
eryngium,yuccifolium,NA,1,0.004,2020,E6
eryngium,yuccifolium,NA,1,0.004,2020,E7
eryngium,yuccifolium,NA,1,0.004,2020,F16
eryngium,yuccifolium,NA,1,0.004,2020,F17
eryngium,yuccifolium,NA,1,0.004,2020,F2
eryngium,yuccifolium,NA,1,0.004,2020,F4
eryngium,yuccifolium,NA,1,0.004,2020,F5
eryngium,yuccifolium,NA,1,0.004,2020,G1
eryngium,yuccifolium,NA,1,0.004,2020,G10
eryngium,yuccifolium,NA,1,0.004,2020,G15
eryngium,yuccifolium,NA,1,0.004,2020,G2
eryngium,yuccifolium,NA,1,0.004,2020,G3
eryngium,yuccifolium,NA,1,0.004,2020,G4
eryngium,yuccifolium,NA,1,0.004,2020,G5
eryngium,yuccifolium,NA,1,0.004,2020,G8
eryngium,yuccifolium,NA,1,0.004,2020,H15
eryngium,yuccifolium,NA,1,0.004,2020,H2
eryngium,yuccifolium,NA,1,0.004,2020,H3
eryngium,yuccifolium,NA,1,0.004,2020,H6
eryngium,yuccifolium,NA,1,0.004,2020,H7
eryngium,yuccifolium,NA,1,0.004,2020,H9
eryngium,yuccifolium,NA,1,0.004,2020,I1
eryngium,yuccifolium,NA,1,0.004,2020,I10
eryngium,yuccifolium,NA,1,0.004,2020,I2
eryngium,yuccifolium,NA,1,0.004,2020,I4
eryngium,yuccifolium,NA,1,0.004,2020,I5
eryngium,yuccifolium,NA,1,0.004,2020,I6
eryngium,yuccifolium,NA,1,0.004,2020,I8
eryngium,yuccifolium,NA,1,0.004,2020,I9
eryngium,yuccifolium,NA,1,0.004,2020,J11
eryngium,yuccifolium,NA,1,0.004,2020,J2
eryngium,yuccifolium,NA,1,0.004,2020,J4
eryngium,yuccifolium,NA,1,0.004,2020,J5
eryngium,yuccifolium,NA,1,0.004,2020,J8
eryngium,yuccifolium,NA,1,0.004,2020,J9
eryngium,yuccifolium,NA,1,0.004,2020,K1
eryngium,yuccifolium,NA,1,0.004,2020,K9
eupatorium,altissimum,NA,1,0.004,2020,B18
eupatorium,altissimum,NA,1,0.004,2020,C4
eupatorium,altissimum,NA,1,0.004,2020,G14
eupatorium,altissimum,NA,1,0.004,2020,H15
eupatorium,altissimum,NA,1,0.004,2020,H19
eupatorium,altissimum,NA,1,0.004,2020,J2
eupatorium,altissimum,NA,1,0.004,2020,K2
eupatorium,altissimum,NA,1,0.004,2020,K5
eupatorium,serotinum,NA,1,0.004,2020,K11
euthamia,graminifolia,NA,1,0.004,2020,H11
euthamia,graminifolia,NA,1,0.004,2020,H15
euthamia,graminifolia,NA,1,0.004,2020,H19
euthamia,graminifolia,NA,1,0.004,2020,I15
euthamia,graminifolia,NA,1,0.004,2020,I8
euthamia,graminifolia,NA,1,0.004,2020,J15
euthamia,graminifolia,NA,1,0.004,2020,K11
fallopia,convolvulus,NA,1,0.004,2020,A10
fallopia,convolvulus,NA,1,0.004,2020,A12
fallopia,convolvulus,NA,1,0.004,2020,A13
fallopia,scandens,NA,1,0.004,2020,A3
fragaria,virginiana,NA,1,0.004,2020,A1
fragaria,virginiana,NA,1,0.004,2020,A10
fragaria,virginiana,NA,1,0.004,2020,A12
fragaria,virginiana,NA,1,0.004,2020,A18
fragaria,virginiana,NA,1,0.004,2020,A19
fragaria,virginiana,NA,1,0.004,2020,A20
fragaria,virginiana,NA,1,0.004,2020,A21
fragaria,virginiana,NA,1,0.004,2020,A24
fragaria,virginiana,NA,1,0.004,2020,B12
fragaria,virginiana,NA,1,0.004,2020,B15
fragaria,virginiana,NA,1,0.004,2020,B16
fragaria,virginiana,NA,1,0.004,2020,B17
fragaria,virginiana,NA,1,0.004,2020,B18
fragaria,virginiana,NA,1,0.004,2020,B19
fragaria,virginiana,NA,1,0.004,2020,B22
fragaria,virginiana,NA,1,0.004,2020,B23
fragaria,virginiana,NA,1,0.004,2020,B4
fragaria,virginiana,NA,1,0.004,2020,B5
fragaria,virginiana,NA,1,0.004,2020,B6
fragaria,virginiana,NA,1,0.004,2020,B7
fragaria,virginiana,NA,1,0.004,2020,B8
fragaria,virginiana,NA,1,0.004,2020,C1
fragaria,virginiana,NA,1,0.004,2020,C12
fragaria,virginiana,NA,1,0.004,2020,C13
fragaria,virginiana,NA,1,0.004,2020,C14
fragaria,virginiana,NA,1,0.004,2020,C15
fragaria,virginiana,NA,1,0.004,2020,C16
fragaria,virginiana,NA,1,0.004,2020,C2
fragaria,virginiana,NA,1,0.004,2020,C23
fragaria,virginiana,NA,1,0.004,2020,C3
fragaria,virginiana,NA,1,0.004,2020,C4
fragaria,virginiana,NA,1,0.004,2020,C5
fragaria,virginiana,NA,1,0.004,2020,C7
fragaria,virginiana,NA,1,0.004,2020,C8
fragaria,virginiana,NA,1,0.004,2020,D11
fragaria,virginiana,NA,1,0.004,2020,D12
fragaria,virginiana,NA,1,0.004,2020,D13
fragaria,virginiana,NA,1,0.004,2020,D14
fragaria,virginiana,NA,1,0.004,2020,D15
fragaria,virginiana,NA,1,0.004,2020,D16
fragaria,virginiana,NA,1,0.004,2020,D5
fragaria,virginiana,NA,1,0.004,2020,E10
fragaria,virginiana,NA,1,0.004,2020,E11
fragaria,virginiana,NA,1,0.004,2020,E12
fragaria,virginiana,NA,1,0.004,2020,E13
fragaria,virginiana,NA,1,0.004,2020,E14
fragaria,virginiana,NA,1,0.004,2020,E15
fragaria,virginiana,NA,1,0.004,2020,E16
fragaria,virginiana,NA,1,0.004,2020,E4
fragaria,virginiana,NA,1,0.004,2020,F11
fragaria,virginiana,NA,1,0.004,2020,F14
fragaria,virginiana,NA,1,0.004,2020,F15
fragaria,virginiana,NA,1,0.004,2020,F16
fragaria,virginiana,NA,1,0.004,2020,F7
fragaria,virginiana,NA,1,0.004,2020,G10
fragaria,virginiana,NA,1,0.004,2020,G16
fragaria,virginiana,NA,1,0.004,2020,G3
fragaria,virginiana,NA,1,0.004,2020,G5
fragaria,virginiana,NA,1,0.004,2020,G9
fragaria,virginiana,NA,1,0.004,2020,H15
fragaria,virginiana,NA,1,0.004,2020,H16
fragaria,virginiana,NA,1,0.004,2020,H4
fragaria,virginiana,NA,1,0.004,2020,H5
fragaria,virginiana,NA,1,0.004,2020,H8
fragaria,virginiana,NA,1,0.004,2020,I11
fragaria,virginiana,NA,1,0.004,2020,I13
fragaria,virginiana,NA,1,0.004,2020,I8
fragaria,virginiana,NA,1,0.004,2020,J2
fragaria,virginiana,NA,1,0.004,2020,J4
fragaria,virginiana,NA,1,0.004,2020,J6
fragaria,virginiana,NA,1,0.004,2020,K12
fragaria,virginiana,NA,1,0.004,2020,K4
fragaria,virginiana,NA,1,0.004,2020,K5
fragaria,virginiana,NA,1,0.004,2020,K6
fragaria,virginiana,NA,1,0.004,2020,K7
fragaria,virginiana,NA,1,0.004,2020,L12
fragaria,virginiana,NA,1,0.004,2020,L7
fraxinus,pennsylvanica,NA,1,0.004,2020,A20
fraxinus,pennsylvanica,NA,1,0.004,2020,A24
galium,obtusum,NA,1,0.004,2020,B10
galium,obtusum,NA,1,0.004,2020,B14
galium,obtusum,NA,1,0.004,2020,B15
galium,obtusum,NA,1,0.004,2020,C11
galium,obtusum,NA,1,0.004,2020,C14
galium,obtusum,NA,1,0.004,2020,C15
galium,obtusum,NA,1,0.004,2020,D10
galium,obtusum,NA,1,0.004,2020,D12
galium,obtusum,NA,1,0.004,2020,D4
galium,obtusum,NA,1,0.004,2020,D5
galium,obtusum,NA,1,0.004,2020,D8
galium,obtusum,NA,1,0.004,2020,D9
galium,obtusum,NA,1,0.004,2020,E10
galium,obtusum,NA,1,0.004,2020,E17
galium,obtusum,NA,1,0.004,2020,E5
galium,obtusum,NA,1,0.004,2020,E6
galium,obtusum,NA,1,0.004,2020,F11
galium,obtusum,NA,1,0.004,2020,F12
galium,obtusum,NA,1,0.004,2020,F13
galium,obtusum,NA,1,0.004,2020,F18
galium,obtusum,NA,1,0.004,2020,F2
galium,obtusum,NA,1,0.004,2020,F5
galium,obtusum,NA,1,0.004,2020,F6
galium,obtusum,NA,1,0.004,2020,F9
galium,obtusum,NA,1,0.004,2020,G10
galium,obtusum,NA,1,0.004,2020,G11
galium,obtusum,NA,1,0.004,2020,G12
galium,obtusum,NA,1,0.004,2020,G14
galium,obtusum,NA,1,0.004,2020,G15
galium,obtusum,NA,1,0.004,2020,G2
galium,obtusum,NA,1,0.004,2020,G6
galium,obtusum,NA,1,0.004,2020,G7
galium,obtusum,NA,1,0.004,2020,H14
galium,obtusum,NA,1,0.004,2020,H2
galium,obtusum,NA,1,0.004,2020,H20
galium,obtusum,NA,1,0.004,2020,H8
galium,obtusum,NA,1,0.004,2020,I11
galium,obtusum,NA,1,0.004,2020,I2
galium,obtusum,NA,1,0.004,2020,I8
galium,obtusum,NA,1,0.004,2020,J1
galium,obtusum,NA,1,0.004,2020,J2
galium,obtusum,NA,1,0.004,2020,J3
galium,obtusum,NA,1,0.004,2020,K1
galium,obtusum,NA,1,0.004,2020,K3
galium,obtusum,NA,1,0.004,2020,K4
gentiana,alba,NA,1,0.004,2020,E7
geum,aleppicum,NA,1,0.004,2020,B1
geum,aleppicum,NA,1,0.004,2020,B12
geum,aleppicum,NA,1,0.004,2020,B13
geum,aleppicum,NA,1,0.004,2020,B18
geum,aleppicum,NA,1,0.004,2020,B22
geum,aleppicum,NA,1,0.004,2020,B7
geum,aleppicum,NA,1,0.004,2020,C12
geum,aleppicum,NA,1,0.004,2020,C14
geum,aleppicum,NA,1,0.004,2020,C16
geum,aleppicum,NA,1,0.004,2020,C3
geum,aleppicum,NA,1,0.004,2020,C4
geum,aleppicum,NA,1,0.004,2020,C8
geum,aleppicum,NA,1,0.004,2020,D6
geum,aleppicum,NA,1,0.004,2020,E10
geum,aleppicum,NA,1,0.004,2020,E15
geum,aleppicum,NA,1,0.004,2020,E5
geum,aleppicum,NA,1,0.004,2020,F15
geum,aleppicum,NA,1,0.004,2020,F18
geum,aleppicum,NA,1,0.004,2020,F8
geum,aleppicum,NA,1,0.004,2020,G6
geum,aleppicum,NA,1,0.004,2020,H20
geum,aleppicum,NA,1,0.004,2020,I13
geum,aleppicum,NA,1,0.004,2020,I14
geum,aleppicum,NA,1,0.004,2020,I15
geum,aleppicum,NA,1,0.004,2020,J12
geum,aleppicum,NA,1,0.004,2020,K11
geum,aleppicum,NA,1,0.004,2020,K7
geum,canadense,NA,1,0.004,2020,A5
geum,canadense,NA,1,0.004,2020,A6
geum,laciniatum,NA,1,0.004,2020,A12
geum,laciniatum,NA,1,0.004,2020,A16
geum,laciniatum,NA,1,0.004,2020,A17
geum,laciniatum,NA,1,0.004,2020,A20
geum,laciniatum,NA,1,0.004,2020,A22
geum,laciniatum,NA,1,0.004,2020,A23
geum,laciniatum,NA,1,0.004,2020,L1
geum,laciniatum,NA,1,0.004,2020,L10
geum,laciniatum,NA,1,0.004,2020,L11
geum,laciniatum,NA,1,0.004,2020,L12
geum,laciniatum,NA,1,0.004,2020,L2
geum,laciniatum,NA,1,0.004,2020,L3
geum,laciniatum,NA,1,0.004,2020,L4
geum,laciniatum,NA,1,0.004,2020,L5
geum,laciniatum,NA,1,0.004,2020,L6
geum,laciniatum,NA,1,0.004,2020,L7
geum,laciniatum,NA,1,0.004,2020,L8
glechoma,hederacea,NA,1,0.004,2020,A10
glechoma,hederacea,NA,1,0.004,2020,A13
glechoma,hederacea,NA,1,0.004,2020,A14
glechoma,hederacea,NA,1,0.004,2020,A16
glechoma,hederacea,NA,1,0.004,2020,A17
glechoma,hederacea,NA,1,0.004,2020,A20
glechoma,hederacea,NA,1,0.004,2020,A22
glechoma,hederacea,NA,1,0.004,2020,A23
glechoma,hederacea,NA,1,0.004,2020,A5
glechoma,hederacea,NA,1,0.004,2020,A8
glechoma,hederacea,NA,1,0.004,2020,A9
hackelia,virginiana,NA,1,0.004,2020,L1
hackelia,virginiana,NA,1,0.004,2020,L4
hackelia,virginiana,NA,1,0.004,2020,L5
hackelia,virginiana,NA,1,0.004,2020,L8
helianthus,grosseserratus,NA,1,0.004,2020,A11
helianthus,grosseserratus,NA,1,0.004,2020,A12
helianthus,grosseserratus,NA,1,0.004,2020,A15
helianthus,grosseserratus,NA,1,0.004,2020,A16
helianthus,grosseserratus,NA,1,0.004,2020,A18
helianthus,grosseserratus,NA,1,0.004,2020,A2
helianthus,grosseserratus,NA,1,0.004,2020,A21
helianthus,grosseserratus,NA,1,0.004,2020,A4
helianthus,grosseserratus,NA,1,0.004,2020,A5
helianthus,grosseserratus,NA,1,0.004,2020,A8
helianthus,grosseserratus,NA,1,0.004,2020,A9
helianthus,grosseserratus,NA,1,0.004,2020,B10
helianthus,grosseserratus,NA,1,0.004,2020,B11
helianthus,grosseserratus,NA,1,0.004,2020,B12
helianthus,grosseserratus,NA,1,0.004,2020,B13
helianthus,grosseserratus,NA,1,0.004,2020,B14
helianthus,grosseserratus,NA,1,0.004,2020,B15
helianthus,grosseserratus,NA,1,0.004,2020,B16
helianthus,grosseserratus,NA,1,0.004,2020,B17
helianthus,grosseserratus,NA,1,0.004,2020,B18
helianthus,grosseserratus,NA,1,0.004,2020,B19
helianthus,grosseserratus,NA,1,0.004,2020,B21
helianthus,grosseserratus,NA,1,0.004,2020,B23
helianthus,grosseserratus,NA,1,0.004,2020,B24
helianthus,grosseserratus,NA,1,0.004,2020,B4
helianthus,grosseserratus,NA,1,0.004,2020,B6
helianthus,grosseserratus,NA,1,0.004,2020,B7
helianthus,grosseserratus,NA,1,0.004,2020,B8
helianthus,grosseserratus,NA,1,0.004,2020,C15
helianthus,grosseserratus,NA,1,0.004,2020,C16
helianthus,grosseserratus,NA,1,0.004,2020,C22
helianthus,grosseserratus,NA,1,0.004,2020,C7
helianthus,grosseserratus,NA,1,0.004,2020,D16
helianthus,grosseserratus,NA,1,0.004,2020,D4
helianthus,grosseserratus,NA,1,0.004,2020,D5
helianthus,grosseserratus,NA,1,0.004,2020,D8
helianthus,grosseserratus,NA,1,0.004,2020,E16
helianthus,grosseserratus,NA,1,0.004,2020,E17
helianthus,grosseserratus,NA,1,0.004,2020,E4
helianthus,grosseserratus,NA,1,0.004,2020,E7
helianthus,grosseserratus,NA,1,0.004,2020,F1
helianthus,grosseserratus,NA,1,0.004,2020,F11
helianthus,grosseserratus,NA,1,0.004,2020,F13
helianthus,grosseserratus,NA,1,0.004,2020,F16
helianthus,grosseserratus,NA,1,0.004,2020,F17
helianthus,grosseserratus,NA,1,0.004,2020,F8
helianthus,grosseserratus,NA,1,0.004,2020,G10
helianthus,grosseserratus,NA,1,0.004,2020,G11
helianthus,grosseserratus,NA,1,0.004,2020,G14
helianthus,grosseserratus,NA,1,0.004,2020,G5
helianthus,grosseserratus,NA,1,0.004,2020,G6
helianthus,grosseserratus,NA,1,0.004,2020,G9
helianthus,grosseserratus,NA,1,0.004,2020,H1
helianthus,grosseserratus,NA,1,0.004,2020,H11
helianthus,grosseserratus,NA,1,0.004,2020,H12
helianthus,grosseserratus,NA,1,0.004,2020,H6
helianthus,grosseserratus,NA,1,0.004,2020,H8
helianthus,grosseserratus,NA,1,0.004,2020,I13
helianthus,grosseserratus,NA,1,0.004,2020,I15
helianthus,grosseserratus,NA,1,0.004,2020,J11
helianthus,grosseserratus,NA,1,0.004,2020,J15
helianthus,grosseserratus,NA,1,0.004,2020,K1
helianthus,grosseserratus,NA,1,0.004,2020,K10
helianthus,grosseserratus,NA,1,0.004,2020,K11
helianthus,grosseserratus,NA,1,0.004,2020,K2
helianthus,grosseserratus,NA,1,0.004,2020,K3
helianthus,grosseserratus,NA,1,0.004,2020,K4
helianthus,grosseserratus,NA,1,0.004,2020,K5
helianthus,grosseserratus,NA,1,0.004,2020,K7
helianthus,grosseserratus,NA,1,0.004,2020,K9
helianthus,grosseserratus,NA,1,0.004,2020,L6
helianthus,pauciflorus,NA,1,0.004,2020,B1
helianthus,pauciflorus,NA,1,0.004,2020,B2
helianthus,pauciflorus,NA,1,0.004,2020,B3
helianthus,pauciflorus,NA,1,0.004,2020,C2
hemerocallis,fulva,NA,1,0.004,2020,A2
heserostipa,spartea,NA,1,0.004,2020,H1
heserostipa,spartea,NA,1,0.004,2020,H10
heserostipa,spartea,NA,1,0.004,2020,H14
heuchera,richardsonii,NA,1,0.004,2020,E4
hypericum,perforatum,NA,1,0.004,2020,C4
hypericum,perforatum,NA,1,0.004,2020,C5
hypericum,perforatum,NA,1,0.004,2020,E10
hypericum,perforatum,NA,1,0.004,2020,E11
hypericum,perforatum,NA,1,0.004,2020,G11
hypericum,perforatum,NA,1,0.004,2020,G15
juncus,balticus ssp. littoralis,NA,1,0.004,2020,B8
juncus,balticus ssp. littoralis,NA,1,0.004,2020,C3
juncus,balticus ssp. littoralis,NA,1,0.004,2020,C4
juncus,balticus ssp. littoralis,NA,1,0.004,2020,D4
juncus,dudleyi,NA,1,0.004,2020,F18
juncus,dudleyi,NA,1,0.004,2020,F9
juncus,torreyi,NA,1,0.004,2020,H20
lactuca,canadensis,NA,1,0.004,2020,D1
lactuca,canadensis,NA,1,0.004,2020,K6
lactuca,serriola,NA,1,0.004,2020,F1
liatris,aspera,NA,1,0.004,2020,B1
liatris,aspera,NA,1,0.004,2020,B2
liatris,aspera,NA,1,0.004,2020,C1
liatris,aspera,NA,1,0.004,2020,C15
liatris,aspera,NA,1,0.004,2020,C2
liatris,aspera,NA,1,0.004,2020,D1
liatris,aspera,NA,1,0.004,2020,D12
liatris,aspera,NA,1,0.004,2020,D2
liatris,aspera,NA,1,0.004,2020,D6
liatris,aspera,NA,1,0.004,2020,E1
liatris,aspera,NA,1,0.004,2020,E13
liatris,aspera,NA,1,0.004,2020,E2
liatris,aspera,NA,1,0.004,2020,F17
liatris,aspera,NA,1,0.004,2020,F2
liatris,aspera,NA,1,0.004,2020,F4
